Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
StubHub,http://www.crunchbase.com/organization/stubhub,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183829/817926abd9b25dd375bb0890d2bf065e.png",StubHub is an online ticket marketplace enabling fans to buy and sell tickets to entertainment events.,2000.0,"Entertainment, Ticketing, E-Commerce","199 Fremont St, Fl 4, San Francisco, California, United States",San Francisco,California,United States,"StubHub is the world's largest ticket marketplace, enabling fans to buy and sell tickets to tens of thousands of sports, concert, theater and other live entertainment events. StubHub reinvented the ticket resale market in 2000 and continues to lead it through innovation. The company's unique online marketplace, dedicated solely to tickets, provides all fans the choice to buy or sell their tickets in a safe, convenient, and highly reliable environment. All transactions are processed and delivered by StubHub and backed by the company's FanProtect™ Guarantee. Company partners include the San Francisco Giants and University of Texas, along with over 60 teams in the NFL, MLB, NBA, NHL, MLS and NCAA, complemented with companies such as ESPN, AEG, Tickets.com, and Paciolan.StubHub is an eBay company NASDAQ: EBAY. For more information on StubHub, visit www.stubhub.com",http://www.stubhub.com,http://twitter.com/StubHub,eBay,eBay acquired StubHub in 2007,http://api.crunchbase.com/v/2/organization/stubhub?user_key=0ebdc8274e821149894a240090945265
Tradera,http://www.crunchbase.com/organization/tradera,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181352/b764a9c4efc76dec5e71f4777f17faeb.png",Auction site based in Sweden,,Curated Web,"Usa, Kyushu, Japan",Usa,Kyushu,Japan,Auction site based in Sweden,http://tradera.com,,eBay,eBay acquired Tradera in 2006,http://api.crunchbase.com/v/2/organization/tradera?user_key=0ebdc8274e821149894a240090945265
Zong,http://www.crunchbase.com/organization/zong,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185607/93baf17153c1499a785c6a65526e4fd8.jpg",Zong is a mobile payment company allowing user to make micropayments online in gaming and social networking web sites.,2000.0,"Mobile Payments, Payments, Mobile","43 rte des Acacias, Geneva, Geneve, Switzerland",Geneva,Geneve,Switzerland,"Zong, the leading mobile payment service used by online gaming and social networking web sites, converts shoppers into buyers at rates up to 10 times greater than traditional payment methods.Zong leverages direct connections with mobile network operators around the world to provide a secure payment solution with unrivaled connectivity and service quality. Zong is the mobile payment provider for Facebook Credits and also works with hundreds of leading destination websites and mobile applications including Gaia Online, IMVU and Playdom.Reaching over 3.2 billion mobile users, Zong provides localized payment capabilities in close to 50 countries in 21 languages. Zong is the only mobile payments platform that combines the high conversion rates of carrier billing with the low costs and flexibility of payment card networks. In 2011, Zong announced the first one-click mobile payment solution for the Android platform so developers could integrate payment options into their applications. The new payment solution creates a seamless experience for users who can now make a purchase within an application with just one click; no registration or log-in is required. The Zong platform automatically verifies the user, bills their mobile phone account and returns them to their application or game without delay.In 2009, Zong processed mobile payments for over 10 million unique users worldwide.  In October 2009 Zong released Zong+ which combines the high conversion rates of mobile payments with the low costs of payment card networks.  Zong+ received the Frost+Sullivan Best Practices Award for product innovation and was dubbed a ""potential Paypal killer"" by TechCrunch.   In early 2010 Zong was spun off from Switzerland-based Echovox. Echovox shareholders received shares in Zong, a U.S. corporation. Zong is backed by Advent Venture Partners, Newbury Ventures and Matrix Partners.",http://www.zong.com,http://twitter.com/zong,eBay,eBay acquired Zong in 2011,http://api.crunchbase.com/v/2/organization/zong?user_key=0ebdc8274e821149894a240090945265
Data Domain,http://www.crunchbase.com/organization/data-domain,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189925/ce2da32fe20ced6d2d513cd917995b22.png",Data Domain offers disk-to-disk and offsite disaster recovery solutions for businesses.,2001.0,"Software, Enterprise Software","176 South Street, Hopkinton, Massachusetts, United States",Hopkinton,Massachusetts,United States,Data Domain offers disk-to-disk D2D and offsite disaster recovery DR solutions to businesses worldwide.,http://www.emc.com/datadomain,http://twitter.com/emccorp,EMC,EMC acquired Data Domain in 2009,http://api.crunchbase.com/v/2/organization/data-domain?user_key=0ebdc8274e821149894a240090945265
Iomega,http://www.crunchbase.com/organization/iomega,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185974/88159b282ebbb7f85e6ffc81aa6dade1.jpg",Storage and Network Security Solutions,1980.0,Hardware + Software,"10955 Vista Sorrento Parkway, Suite 300, San Diego, California, United States",San Diego,California,United States,"Iomega Corporation is a provider of storage and network security solutions for small and mid-sized businesses, consumers and others. As of April 2008, the company has sold more than 400 milliondigital storage drives and disks.",http://www.iomega.com,,EMC,EMC acquired Iomega in 2008,http://api.crunchbase.com/v/2/organization/iomega?user_key=0ebdc8274e821149894a240090945265
Isilon Systems,http://www.crunchbase.com/organization/isilon,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182721/d7b30b2c195ee7d80997013a3d2bf456.png",Isilon Systems sells clustered file system hardware and software for digital content and other unstructured data sources.,2001.0,Web Hosting,"3101 Western Ave, Seattle, Washington, United States",Seattle,Washington,United States,"As a global leader in scale-out storage, Isilon delivers powerful yet simple solutions for enterprises that want to manage their data, not their storage. Isilon's products are simple to install, manage and scale, at any size. And, unlike traditional architectures, Isilon stays simple no matter how much storage is added, how much performance is required or how business needs change in the future. We're challenging enterprises to think differently about their storage, because when they do, they'll recognize there's a better, simpler way",http://www.isilon.com,,EMC,EMC acquired Isilon Systems in 2010,http://api.crunchbase.com/v/2/organization/isilon?user_key=0ebdc8274e821149894a240090945265
Kazeon,http://www.crunchbase.com/organization/kazeon,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184003/b08ff67dd37da28f1236b2c7f6343172.png",Kazeon Systems develops and provides electronic discovery solutions in the United States.,2003.0,Software,"1161 San Antonio Road, Mountain View, California, United States",Mountain View,California,United States,"Kazeon Systems, Inc. develops and provides electronic discovery solutions in the United States. It offers eDiscovery/litigation support, information security and privacy, governance, and risk and compliance solutions, as well as support and educational services for remote devices over corporate IP networks, VPN networks, and wireless and wired networks. The company also provides Information Center, which helps customers turn their data center into an information center; and Information Server, a software that automates eDiscovery functions from identification, collection through processing, preservation, analysis and review for corporations, service providers, and law firms. In addition, it offers a suite of storage optimization solutions, including data consolidation, migration and archival, file reporting, and backup search. The company was founded in 2003 and is based in Mountain View, California. As of September 30, 2009, Kazeon Systems, Inc. operates as a subsidiary of EMC Corporation.",http://www.kazeon.com,,EMC,EMC acquired Kazeon in 2009,http://api.crunchbase.com/v/2/organization/kazeon?user_key=0ebdc8274e821149894a240090945265
Mozy,http://www.crunchbase.com/organization/mozy,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181481/da7b3129f278fbf3e447913d4dccbec2.jpg",Mozy provides cloud backup and access services and solutions.,2005.0,"Web Hosting, Flash Storage","2162 W. Grove Pkwy, Pleasant Grove, Utah, United States",Pleasant Grove,Utah,United States,"Mozy is the world’s most trusted provider of cloud backup and access, with more than 6 million customers, including more than 100,000 businesses, backing up 90 petabytes of information to its multiple data centers around the globe. Wholly owned by EMC Corporation since 2007, Mozy is an essential component in the EMC backup and recovery solutions portfolio. Mozy is headquartered in Seattle, Washington with offices in Pleasant Grove, Utah; London, England; Cork, Ireland; and Shanghai, China.Mozy has three flagship products -- MozyHome, for consumers, MozyPro, for small businesses, and MozyEnterprise, for larger organizations. MozyHome pricing is $5.99/month for up to 50 GB and 1 computer, and $9.99/month for up to 125 GB and 3 computers. Consumers can add additional computers for $2 per month per computer; or add an additional 20 GB of space for $2 per month. MozyPro pricing is $9.99/month per computer for 10 GB, $19.99/month for 50 GB, $39.99/month for 100 GB, etc. Add a ""server pass"" for another $3.99/month, $6.99/month, $12.99/month, etc.In 2011 Mozy launched the Mozy app for iOS iPhone, iPad and iPod touch and Android devices. The Mozy file sync feature Stash entered public beta in January 2012.On the consumer side, Mozy competes with Carbonite, CrashPlan, and others. At the enterprise level, Iron Mountain and EVault are the entrenched competitors.",http://mozy.com,http://twitter.com/mozy,EMC,EMC acquired Mozy in 2007,http://api.crunchbase.com/v/2/organization/mozy?user_key=0ebdc8274e821149894a240090945265
ScaleIO,http://www.crunchbase.com/organization/scaleio,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397191454/9aba7e3cf4651d09222ce8bcc7c44d42.jpg","ScaleIO develops ECS, a solution for data centers to cut storage costs and streamline storage operations.",2011.0,Software,"525 University Avenue, Suite 800, Palo Alto, California, United States",Palo Alto,California,United States,"ScaleIO is the leader in elastic converged storage. ECS, the flagship ScaleIO solution, enables data centers to cut storage costs by over 80% and streamlines storage operations by converging storage into compute. Founded in early 2011 by a team of storage industry veterans who set out to revolutionize enterprise data storage, the company is funded by top-tier venture capital firms, including Greylock Partners and Norwest Venture Partners NVP. ECS is in use at large data centers in the United States and Europe.",http://www.scaleio.com,http://twitter.com/Scaleio,EMC,EMC acquired ScaleIO in 2013,http://api.crunchbase.com/v/2/organization/scaleio?user_key=0ebdc8274e821149894a240090945265
Silver Tail Systems,http://www.crunchbase.com/organization/silver-tail-systems,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397198158/a036cebc3522015df24d7cffeb328bce.gif",Silver Tail Systems employs web session intelligence and real-time behavioral analytics to detect and prevent fraud and abuse on websites.,2008.0,"Software, Security, Analytics, Fraud Detection","1010 El Camino Real #300, Menlo Park, California, United States",Menlo Park,California,United States,"Silver Tail Systems is the leading provider of predictive analytics to detect and prevent fraud and abuse on websites.Business logic abuse is a rising concern as its extremely difficult to detect and stop, but these hijack threats, velocity attacks and gaming schemes are costing companies millions, if not billions in online fraud.Silver Tail Forensics and Mitigation products use a new generation of detection, efficient investigation and real-time mitigation of events to track suspicious behavior and divert the bad actors, leaving legitimate users unaffected.",http://www.silvertailsystems.com,http://twitter.com/SilverTailSyst,EMC,EMC acquired Silver Tail Systems in 2012,http://api.crunchbase.com/v/2/organization/silver-tail-systems?user_key=0ebdc8274e821149894a240090945265
VMware,http://www.crunchbase.com/organization/vmware,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187885/d3df44afe422e34d75c9a425cf9c9c08.png",VMware is a software company providing cloud and virtualization services.,1998.0,Software,"3401 Hillview Ave, Palo Alto, California, United States",Palo Alto,California,United States,"VMware, Inc. provides virtualization solutions. The company was founded in 1998 and is headquartered in Palo Alto, California.Its virtualization platform products include Player that enables individuals to run virtual machines on their desktops; Fusion, a desktop virtualization product for users of Intel-based Apple Macintosh computers; Workstation for software developers and enterprise IT professionals; Server, which enables virtual partitioning of a server; ESX Server, an enterprise-class virtualization platform that runs directly on the hardware; Virtual SMP that enables a virtual machine to use four physical processors simultaneously; and VMFS, which allows multiple ESX Servers to share block-based storage.The company also offers VirtualCenter that provides a central point of control to manage a virtualized IT environment; VMotion, which allows users to move virtual machines; DRS that creates resource pools from physical servers; HA, which provides automated recovery from hardware failure; Consolidated Backup that enables LAN-free automated backup of virtual machines; Storage VMotion, which allows live migration of virtual machine disks; Update Manager that automates patch and update management; Capacity Planner, which enables VMware service providers to perform capacity assessments onsite; Converter to convert local and remote physical machines into virtual machines; Lab Manager to automate the setup, capture, storage, and sharing of multi-machine software configurations; ACE that allows desktop administrators to protect company resources against the risks presented by unmanaged desktops; Virtual Desktop Infrastructure to host individual desktops inside virtual machines running on centralized servers; Virtual Desktop Manager, a desktop management server that connects users to virtual desktops in the data center; and VMware Lifecycle Manager that provides control over the virtual environment.",http://www.vmware.com,http://twitter.com/VMware,EMC,EMC acquired VMware in 2004,http://api.crunchbase.com/v/2/organization/vmware?user_key=0ebdc8274e821149894a240090945265
Bolt | Peters,http://www.crunchbase.com/organization/bolt-peters,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397191947/f0dc1766a414134a8cf55b1c9d47236e.jpg","Bolt | Peters is a user experience research and design firm that recruits the actual visitors of a website, using their web tool Ethnio.",2002.0,,"576, Natoma St., San Francisco, California, United States",San Francisco,California,United States,"User experience research and design firm in San Francisco. They tap native environment observation and visual storytelling to inspire better design and bring accurate research to design teams and product strategists. Their approach to user research is based on the idea that talking to real users with real motivations matters. Instead of getting their participants through an agency or an email list, they recruit the actual visitors to a website, using their web tool Ethnio. They contact the qualified recruits immediately after they fill out the form to begin the research session right away, watching the way they use your product in real life. They also hold events and workshops, perform expert experience design, and train people in remote user research methods.",http://boltpeters.com,http://twitter.com/boltpeters,Facebook,Facebook acquired Bolt | Peters in 2012,http://api.crunchbase.com/v/2/organization/bolt-peters?user_key=0ebdc8274e821149894a240090945265
Branch,http://www.crunchbase.com/organization/branch,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189471/b7a835153d2a613adaa1aed78755987e.png","Branch Media builds social products to empower conversation, such as a platform for hosting and publishing invite-only conversations.",2011.0,"Messaging, Curated Web","416 W 13th St., Suite 203, New York City, New York, United States",New York City,New York,United States,Branch formerly Roundtable enables a smart new brand of high quality public discourse. Curated groups of people are invited to engage around issues in which they are knowledgeable. This service holds the promise of a new platform for dialogue on the web—a necessary departure from the monologues we have grown so accustomed to reading online.,http://branch.com,http://twitter.com/branch,Facebook,Facebook acquired Branch in 2014,http://api.crunchbase.com/v/2/organization/branch?user_key=0ebdc8274e821149894a240090945265
Chai Labs,http://www.crunchbase.com/organization/chailabs,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185445/c89c48e0b452778bb2a9ece42e232ec4.jpg",Chai Labs offers a semantic search platform that analyzes and extracts insights from real-time data points across the web.,,Software,"Mountain View, California, United States",Mountain View,California,United States,"ChaiLabs is an early stage company comprised of folks from MIT, Stanford, Google, Yahoo, and Cisco, and backed by successful internet investors. Their mission is to build Internet services that are as ubiquitous.  They are located in downtown Mountain View, in the heart of Silicon Valley.Richard Chen has invested in ChaiLabs",http://www.chailabs.com,,Facebook,Facebook acquired Chai Labs in 2010,http://api.crunchbase.com/v/2/organization/chailabs?user_key=0ebdc8274e821149894a240090945265
Face.com,http://www.crunchbase.com/organization/face-com,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397205147/b5f707505254d235c56e0bde95a5ed3b.jpg","Face.com employs facial recognition technologies such as Photo Finder, which helps users find photos on social networks like Facebook.",2005.0,Photography,"62 Rothchild Blvd., Tel Aviv, Tel Aviv, Israel",Tel Aviv,Tel Aviv,Israel,"Face.com is helping people find photos, using our home grown best-in-breed facial recognition technologies. The first deployment of our tech is our Photo Finder application for Facebook, today's largest photo sharing site, which scans public photos in your social network and suggests tags for untagged faces. face.com has offices in Tel Aviv and New York.",http://face.com,http://twitter.com/face,Facebook,Facebook acquired Face.com in 2012,http://api.crunchbase.com/v/2/organization/face-com?user_key=0ebdc8274e821149894a240090945265
Hot Potato,http://www.crunchbase.com/organization/hotpotato,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193566/4c2060ffdcc80cd9d5ce779b48626321.png",Hot Potato is a social media agency that provides event-based services.,2009.0,Social Media,"181 N 11th Street, Brooklyn, New York, United States",Brooklyn,New York,United States,"Hot Potato connects friends and fans around live events. We're building tools for real-time social collaboration amongst groups who share an interest in any event or experience as it's happening. Whether checking in, recording your perspective, or just enjoying others contributions, it's more fun to participate in events with Hot Potato.",http://www.hotpotato.com,http://twitter.com/hotpotatoapp,Facebook,Facebook acquired Hot Potato in 2010,http://api.crunchbase.com/v/2/organization/hotpotato?user_key=0ebdc8274e821149894a240090945265
Instagram,http://www.crunchbase.com/organization/instagram,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397750972/c28ae01b9b6749e602de8c56fb997597.png","Instagram is a free photo sharing application to take photos, apply filters and share them on social networking services.",2010.0,"Photo Editing, Social Network Media, Photo Sharing, Photography, Social Media, Mobile","P.O. Box 77421, San Francisco, California, United States",San Francisco,California,United States,"Instagram is a free photo sharing application that allows users to take photos, apply a filter, and share it on the service or a variety of other social networking services, including Facebook, Twitter, Foursquare, Tumblr, Flickr, and Posterous The application is compatible with iPhone, iPad or iPod Touch or Android devices running Android.In an homage to both the Kodak Instamatic and Polaroid cameras, Instagram confines photos into a square shape. This is in contrast to the 3:2 aspect ratio normally used by the iOS device cameras.The application was developed by Kevin Systrom and Mike Krieger.In April 2012, Instagram was acquired by Facebook",http://instagram.com,http://twitter.com/instagram,Facebook,Facebook acquired Instagram in 2012,http://api.crunchbase.com/v/2/organization/instagram?user_key=0ebdc8274e821149894a240090945265
Nextstop,http://www.crunchbase.com/organization/nextstop,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397207920/d36caa07452c81c1b90e82ad1409bc89.gif","Nextstop features short, positive recommendations of destinations around the world, with photos, maps and factual information.",2009.0,"Reviews and Recommendations, Curated Web, Travel","650 Townsend St., Suite 310, San Francisco, California, United States",San Francisco,California,United States,"Nextstop's members share recommendations for the places they love most all over the world, with the goal that wherever you are, nextstop can help you can find something great to do.  It features short, positive recommendations, with photos, maps, and factual information about all the places in the system.Nextstop is useful when you are close to home or somewhere new.  You can find a new place to go to dinner, plan a weekend away, find something nearby when you're on a business trip, or plan a vacation.  You can discover places to visit and things to do by browsing to different locations through search, or simply browsing friends' recommendations to see what strikes your fancy. Each recommendation comes with a brief snippet of text from the person recommending the place. nextstop encourages people to keep these snippets short so that you don't have to go paging through volumes of reviews to understand what a place is about.",http://www.nextstop.com,http://twitter.com/nextstop,Facebook,Facebook acquired Nextstop in 2010,http://api.crunchbase.com/v/2/organization/nextstop?user_key=0ebdc8274e821149894a240090945265
Oculus VR,http://www.crunchbase.com/organization/oculus-vr,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180196/e658c9744b3e6933ccf33bd2f74e3d25.png",Oculus is a technology company developing interface software to the cloud-based gaming industry.,2012.0,"Video Games, Virtualization, Hardware + Software","19800 MacArthur Blvd. Suite 200, Irvine, California, United States",Irvine,California,United States,"Oculus is a technology company revolutionizing the way people experience video games. The company’s first product, the Oculus Rift virtual reality headset, is currently in development and is set to launch in 2013. The company was founded by Palmer Luckey and veterans of RedOctane, developers of the acclaimed Guitar Hero series; Scaleform, the #1 user interface software in the gaming; and Gaikai, the cloud gaming company.For more information on the Oculus Rift, visit:  or email: rift@oculusvr.com.Specialties: Computer Hardware, Virtual Reality, Software Development, Video Games",http://www.oculusvr.com,http://twitter.com/Oculus,Facebook,Facebook acquired Oculus VR in 2014,http://api.crunchbase.com/v/2/organization/oculus-vr?user_key=0ebdc8274e821149894a240090945265
Onavo,http://www.crunchbase.com/organization/onavo,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187339/0f327cfe2072eb5988815b1ef0589ea7.jpg","Onavo operates Onavo Insights, a mobile intelligence service that helps businesses in managing finance, entertainment and social networking.",2010.0,Mobile,"2390 El Camino Real, Suite 250, Palo Alto, California, United States",Palo Alto,California,United States,"Onavo, founded 2010, is the company behind Onavo Insights, the largest mobile intelligence service, and the developer of the award-winning Onavo mobile utility apps.Onavo Insights market intelligence data, powered by fully anonymized data from Onavo's apps, powers business decisions in companies in verticals diverse as finance, gaming, entertainment and social networking, and reports are cited regularly in the press as the primary barometer of the mobile app ecosystem.",http://insights.onavo.com,http://twitter.com/onavo,Facebook,Facebook acquired Onavo in 2013,http://api.crunchbase.com/v/2/organization/onavo?user_key=0ebdc8274e821149894a240090945265
Parse,http://www.crunchbase.com/organization/parse,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397198030/95c6563b636223d275b9a5ad2066c94d.jpg",Parse is a cloud app platform that enables users to add a scalable and powerful backend to launch a full-featured app.,2011.0,"Android, iOS, Cloud Computing, PaaS, Mobile, Enterprise Software","1 Hacker Way, Menlo Park, California, United States",Menlo Park,California,United States,"Parse is the cloud app platform for Windows 8, Windows Phone 8, iOS, Android, JavaScript, and OS X. With Parse, you can add a scalable and powerful backend in minutes and launch a full-featured mobile or web app in record time without ever worrying about server management. Parse offers push notifications, social integration, data storage, and the ability to add rich custom logic to your app’s backend with Cloud Code. Build more with Parse.",http://parse.com,http://twitter.com/parseit,Facebook,Facebook acquired Parse in 2013,http://api.crunchbase.com/v/2/organization/parse?user_key=0ebdc8274e821149894a240090945265
Snaptu,http://www.crunchbase.com/organization/snaptu,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184952/2ac79e0e2e5a416d230f93a2793cf7a4.png",Snaptu is a mobile application platform that runs on virtually every type of internet-enabled mobile phones.,1994.0,Mobile,"40 Brewster Gardens, London, United Kingdom, Great Britain",London,United Kingdom,Great Britain,"Snaptu formerly Moblica is both a product and a company & the goal of both is to significantly improve the way the world uses the mobile web.  Specifically, our goal is to help millions of mobile users access the web easily and quickly' regardless of the mobile phone they're using.  For mobile consumers our Snaptu application delivers a fast, fun and effective user experience for popular mobile Internet applications on virtually every mobile phone.  For online service providers, media companies and content owners we provide a large and rapidly growing global channel that requires little setup and no financial or technical investment.",http://www.snaptu.com,http://twitter.com/snaptu,Facebook,Facebook acquired Snaptu in 2011,http://api.crunchbase.com/v/2/organization/snaptu?user_key=0ebdc8274e821149894a240090945265
WhatsApp,http://www.crunchbase.com/organization/whatsapp,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398126247/ps4uxuuzonvher3jfdqe.png","WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.",2009.0,Messaging,"3561 Homestead Rd #416, Santa Clara, California, United States",Santa Clara,California,United States,"WhatsApp Messenger is a cross-platform mobile messaging app which allows you to exchange messages without having to pay for SMS. WhatsApp Messenger is available for iPhone, BlackBerry, Android, Windows Phone and Nokia and yes, those phones can all message each other! Because WhatsApp Messenger uses the same internet data plan that you use for email and web browsing, there is no cost to message and stay in touch with your friends.In addition to basic messaging WhatsApp users can create groups, send each other unlimited images, video and audio media messages.",http://www.whatsapp.com,http://twitter.com/WhatsApp,Facebook,Facebook acquired WhatsApp in 2014,http://api.crunchbase.com/v/2/organization/whatsapp?user_key=0ebdc8274e821149894a240090945265
Aardvark,http://www.crunchbase.com/organization/aardvark,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186353/0b724983b73b06954e567d32fb304707.png",Aardvark is a social search engine that allows users to ask questions and receive answers from their extended network.,2007.0,Search,"San Francisco, California, United States",San Francisco,California,United States,"Aardvark formerly Mechanical Zoo is a social search engine, founded by a group of former Google employees. Aardvark that lets users ask questions that are distributed to the social graph for a quick and high quality answers. It launched into private beta in 2008.Aardvark is a way to get quick, quality answers to questions from your extended social network. You can ask questions via an instant message buddy or email. The questions are then farmed out to your contacts and their contacts based on what they say they have knowledge of. If you ask taste related questions about music, books, movies, restaurants, etc., they'll ask people who tend to show similar tastes as you in their profile.Richard Chen has invested in Aardvark",http://googleblog.blogspot.com/2011/09/fall-spring-clean.html,http://twitter.com/vark,Google,Google acquired Aardvark in 2010,http://api.crunchbase.com/v/2/organization/aardvark?user_key=0ebdc8274e821149894a240090945265
Admeld,http://www.crunchbase.com/organization/admeld,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397190807/faddc405fdededd080ea004f465bc613.png",Admeld is an advertising optimization platform providing online publishers with technology and expertise to sell their ad inventory.,2007.0,"Auctions, Software, Advertising","One Madison Ave, 4th Floor, New York City, New York, United States",New York City,New York,United States,"Admeld helps the world's top online publishers sell their ad inventory smarter. Built and run by publishing veterans, the company provides its clients with expertise and technology to capture new revenue streams, control how they sell each impression, and protect their data and brand.  Admeld customers include Answers.com, Discovery Communications, FOX News, Hearst Television, IDG TechNetwork, The Weather Channel and more than 500 others worldwide. The company is headquartered in New York City with offices in London, Berlin, San Francisco, and Toronto.  Visit www.admeld.com for more information.",http://www.admeld.com,http://twitter.com/admeld,Google,Google acquired Admeld in 2011,http://api.crunchbase.com/v/2/organization/admeld?user_key=0ebdc8274e821149894a240090945265
AdMob,http://www.crunchbase.com/organization/admob,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181418/edd726e66339d52103fd6838837a1420.png",AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,2006.0,"Advertising, Mobile","1600 Amphitheatre Parkway, Mountain View, California, United States",Mountain View,California,United States,"AdMob has been helping app developers build app businesses since 2006. A leading mobile advertising network serving billions of ads daily, AdMob helps developers worldwide monetize and promote their mobile and tablet apps.   AdMob was acquired by Google in 2011 Since the acquisition, Google has refocused AdMob's offerings, pointing mobile web publishers to AdSense for mobile web advertising and advertisers to AdWords. Accordingly, AdMob is a platform for app developers.",http://www.google.com/admob,,Google,Google acquired AdMob in 2009,http://api.crunchbase.com/v/2/organization/admob?user_key=0ebdc8274e821149894a240090945265
Adscape,http://www.crunchbase.com/organization/adscape,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187609/93a1bfc67a4db0204e4f061e9c13325c.gif",Adscape Media is a small in-game advertising company based in San Francisco California. Adscape Media offers dynamic delivery of,,Curated Web,"San Francisco, California, United States",San Francisco,California,United States,Adscape Media is a small in-game advertising company based in San Francisco California. Adscape Media offers dynamic delivery of advertising with plot and storyline integration - making its solutions a truly interactive marketing platform. Adscape Media supports sophisticated demographic and geographic targeting and also provides a robust reporting interface for marketers.,,,Google,Google acquired Adscape in 2007,http://api.crunchbase.com/v/2/organization/adscape?user_key=0ebdc8274e821149894a240090945265
Android,http://www.crunchbase.com/organization/android,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186466/7d7b1d8c9b4400e39dff52be1278c83d.png",Android provides an open-source mobile software platform that allows developers to create applications for mobile devices.,2003.0,"Linux, Search, Mobile","156 University Ave, Palo Alto, California, United States",Palo Alto,California,United States,"In August 2005, Google acquired Android, a small startup company based in Palo Alto, CA%2520Alto.  Android's co-founders who went to work at Google included Andy Rubin co-founder of Danger, Rich Miner co-founder of Wildfire, Nick Sears once VP at T-Mobile, and Chris White one of the first engineers at WebTV At the time, little was known about the functions of Android other than they made software for mobile phones. This began rumors that Google was planning to enter the mobile phone market, although it was unclear at the time what function they might perform in that market.Android has a large community of developers writing applications ""apps"" that extend the functionality of the devices. There are currently over 200,000 apps available for Android. Android Market is the online app store run by Google, though apps can also be downloaded from third-party sites. Developers write primarily in the Java language, controlling the device via Google-developed Java libraries.The unveiling of the Android distribution on 5 November 2007 was announced with the founding of the Open Handset Alliance, a consortium of 80 hardware, software, and telecom companies devoted to advancing open standards for mobile devices. Google released most of the Android code under the Apache License, a free software and open source license.The Android open-source software stack consists of Java applications running on a Java-based, object-oriented application framework on top of Java core libraries running on a Dalvik virtual machine featuring JIT compilation. Libraries written in C include the surface manager, OpenCore media framework, SQLite relational database management system, OpenGL ES 2.0 3D graphics API, WebKit layout engine, SGL graphics engine, SSL, and Bionic libc. The Android operating system, including the Linux kernel, consists of roughly 12 million lines of code including 3 million lines of XML, 2.8 million lines of C, 2.1 million lines of Java, and 1.75 million lines of C++.",http://www.android.com,http://twitter.com/Android_Feed,Google,Google acquired Android in 2012,http://api.crunchbase.com/v/2/organization/android?user_key=0ebdc8274e821149894a240090945265
Applied Semantics,http://www.crunchbase.com/organization/applied-semantics,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189510/69d86d279e72603716d09f5c55863836.png","Applied Semantics develops software apps for the online advertising, domain name, and enterprise information management markets.",,Curated Web,,,,,"Applied Semantics is a producer of software applications for the online advertising, domain name, and enterprise information management markets. Applied Semantics was acquired by Google in April of 2003.",http://www.appliedsemantics.com,,Google,Google acquired Applied Semantics in 2003,http://api.crunchbase.com/v/2/organization/applied-semantics?user_key=0ebdc8274e821149894a240090945265
